"matchday","home_team","away_team"
1,"FLAMENGO","PALMEIRAS"
1,"CORINTHIANS","ATLÉTICO-GO"
1,"SÃO PAULO","FLUMINENSE"
1,"ATLÉTICO-MG","FORTALEZA"
1,"INTERNACIONAL","SPORT "
1,"CEARÁ","GRÊMIO"
1,"BAHIA","SANTOS"
1,"ATHLETICO-PR","AMÉRICA-MG"
1,"CHAPECOENSE","BRAGANTINO"
1,"CUIABÁ","JUVENTUDE"
2,"FLUMINENSE","CUIABÁ"
2,"PALMEIRAS","CHAPECOENSE"
2,"SANTOS","CEARÁ"
2,"AMÉRICA-MG","CORINTHIANS"
2,"GRÊMIO","FLAMENGO"
2,"FORTALEZA","INTERNACIONAL"
2,"SPORT","ATLÉTICO-MG"
2,"BRAGANTINO","BAHIA"
2,"JUVENTUDE","ATHLETICO-PR"
2,"ATLÉTICO-GO","SÃO PAULO"
3,"FLAMENGO","AMÉRICA-MG"
3,"PALMEIRAS","CORINTHIANS"
3,"SANTOS","JUVENTUDE"
3,"ATLÉTICO-MG","SÃO PAULO"
3,"GRÊMIO","ATHLETICO-PR"
3,"FORTALEZA","SPORT "
3,"BAHIA","INTERNACIONAL"
3,"BRAGANTINO","FLUMINENSE"
3,"CHAPECOENSE","CEARÁ"
3,"CUIABÁ","ATLÉTICO-GO"
4,"FLUMINENSE","SANTOS"
4,"CORINTHIANS","BRAGANTINO"
4,"SÃO PAULO","CHAPECOENSE"
4,"AMÉRICA-MG","CUIABÁ"
4,"INTERNACIONAL","ATLÉTICO-MG"
4,"CEARÁ","BAHIA"
4,"SPORT","GRÊMIO"
4,"ATHLETICO-PR","FLAMENGO"
4,"JUVENTUDE","PALMEIRAS"
4,"ATLÉTICO-GO","FORTALEZA"
5,"FLAMENGO","BRAGANTINO"
5,"PALMEIRAS","AMÉRICA-MG"
5,"SANTOS","SÃO PAULO"
5,"ATLÉTICO-MG","CHAPECOENSE"
5,"INTERNACIONAL","CEARÁ"
5,"FORTALEZA","FLUMINENSE"
5,"BAHIA","CORINTHIANS"
5,"ATHLETICO-PR","ATLÉTICO-GO"
5,"JUVENTUDE","SPORT "
5,"CUIABÁ","GRÊMIO"
6,"FLAMENGO","FORTALEZA"
6,"CORINTHIANS","SPORT "
6,"SÃO PAULO","CUIABÁ"
6,"AMÉRICA-MG","JUVENTUDE"
6,"GRÊMIO","SANTOS"
6,"CEARÁ","ATLÉTICO-MG"
6,"BAHIA","ATHLETICO-PR"
6,"BRAGANTINO","PALMEIRAS"
6,"CHAPECOENSE","INTERNACIONAL"
6,"ATLÉTICO-GO","FLUMINENSE"
7,"FLUMINENSE","CORINTHIANS"
7,"PALMEIRAS","BAHIA"
7,"SANTOS","ATLÉTICO-MG"
7,"AMÉRICA-MG","INTERNACIONAL"
7,"GRÊMIO","FORTALEZA"
7,"CEARÁ","SÃO PAULO"
7,"SPORT","CUIABÁ"
7,"ATHLETICO-PR","CHAPECOENSE"
7,"JUVENTUDE","FLAMENGO"
7,"ATLÉTICO-GO","BRAGANTINO"
8,"FLUMINENSE","ATHLETICO-PR"
8,"CORINTHIANS","SÃO PAULO"
8,"SANTOS","SPORT "
8,"ATLÉTICO-MG","ATLÉTICO-GO"
8,"INTERNACIONAL","PALMEIRAS"
8,"FORTALEZA","CHAPECOENSE"
8,"BAHIA","AMÉRICA-MG"
8,"BRAGANTINO","CEARÁ"
8,"JUVENTUDE","GRÊMIO"
8,"CUIABÁ","FLAMENGO"
9,"FLAMENGO","FLUMINENSE"
9,"CORINTHIANS","INTERNACIONAL"
9,"SÃO PAULO","BRAGANTINO"
9,"AMÉRICA-MG","SANTOS"
9,"GRÊMIO","ATLÉTICO-GO"
9,"CEARÁ","JUVENTUDE"
9,"SPORT","PALMEIRAS"
9,"ATHLETICO-PR","FORTALEZA"
